Product keyword,Seller Facing Fee Category,Risk Factor
apparel - Boys - School Uniforms - Shirts,Apparel - Shirts,Low Risk
apparel - Boys - Shirts,Apparel - Shirts,Low Risk
apparel - Boys - Sportswear - Shirts & Tees - Tank Tops,Apparel - Shirts,Low Risk
apparel - Boys - Sportswear - Shirts & Tees - T-Shirts,Apparel - Shirts,Low Risk
apparel - Boys - T-Shirts & Polos - Polos,Apparel - Shirts,Low Risk
apparel - Boys - T-Shirts & Polos - Tank Tops,Apparel - Shirts,Low Risk
apparel - Boys - T-Shirts & Polos - T-Shirts,Apparel - Shirts,Low Risk
apparel - Girls - School Uniforms - Shirts,Apparel - Shirts,Low Risk
apparel - Girls - Sportswear - Shirts & Tees - Polos,Apparel - Shirts,Low Risk
"apparel - Girls - Tops, T-Shirts & Shirts - Polos",Apparel - Shirts,Low Risk
"apparel - Girls - Tops, T-Shirts & Shirts - Shirts",Apparel - Shirts,Low Risk
apparel - Novelty & Special Use Clothing - German Traditional Costumes - Women's - Blouses,Apparel - Shirts,Low Risk
"apparel - Novelty & Special Use Clothing - Uniforms, Work & Safety - Military - Women's - Tops",Apparel - Shirts,Low Risk
"apparel - Novelty & Special Use Clothing - Uniforms, Work & Safety - Scouting Uniforms - Boys' - Tops",Apparel - Shirts,Low Risk
"apparel - Novelty & Special Use Clothing - Uniforms, Work & Safety - Scouting Uniforms - Girls' - Tops",Apparel - Shirts,Low Risk
"apparel - Novelty & Special Use Clothing - Uniforms, Work & Safety - Scouting Uniforms - Women's - Tops",Apparel - Shirts,Low Risk
"apparel - Women - Maternity - Western Wear - Tops, T-Shirts & Shirts - Shirts",Apparel - Shirts,Low Risk
"apparel - Women - Maternity - Western Wear - Tops, T-Shirts & Shirts - Tank Tops",Apparel - Shirts,Low Risk
apparel - Women - Sportswear - Shirts & Tees - Polos,Apparel - Shirts,Low Risk
apparel - Women - Sportswear - Shirts & Tees - Tank Tops,Apparel - Shirts,Low Risk
apparel - Women - Sportswear - Shirts & Tees - T-Shirts,Apparel - Shirts,Low Risk
"apparel - Women - Western Wear - Tops, T-Shirts & Shirts - Polos",Apparel - Shirts,Low Risk
sporting-goods - Baseball - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Baseball - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Baseball - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Bowling - Clothing - Boys - Shirts,Apparel - Shirts,Low Risk
sporting-goods - Bowling - Clothing - Girls - Shirts,Apparel - Shirts,Low Risk
sporting-goods - Bowling - Clothing - Women - Shirts,Apparel - Shirts,Low Risk
sporting-goods - Cheerleading - Clothing - Girls - Tops,Apparel - Shirts,Low Risk
sporting-goods - Cheerleading - Clothing - Girls - Uniforms - Shells,Apparel - Shirts,Low Risk
sporting-goods - Cheerleading - Clothing - Women - Tops,Apparel - Shirts,Low Risk
sporting-goods - Cheerleading - Clothing - Women - Uniforms - Shells,Apparel - Shirts,Low Risk
sporting-goods - Cycling - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Cycling - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Cycling - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Dance - Clothing - Boys - Shirts,Apparel - Shirts,Low Risk
sporting-goods - Dance - Clothing - Girls - Tops,Apparel - Shirts,Low Risk
sporting-goods - Dance - Clothing - Women - Tops,Apparel - Shirts,Low Risk
sporting-goods - Equestrian Sports - Clothing - Women - Tournament Blouses,Apparel - Shirts,Low Risk
sporting-goods - Exercise & Fitness - Yoga - Clothing - Boys - Shirts,Apparel - Shirts,Low Risk
sporting-goods - Field Hockey - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Field Hockey - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Field Hockey - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Rugby - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Rugby - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Rugby - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Softball - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Softball - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Softball - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Sports Clothing - Boys - Base Layers & Compression - Shirts,Apparel - Shirts,Low Risk
sporting-goods - Team Handball - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Team Handball - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Team Handball - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Winter Sports - Ice Hockey - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Winter Sports - Ice Hockey - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - Winter Sports - Ice Hockey - Clothing - Women - Jerseys,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Boys -  Sportswear -  Shirts & Tees -  Button-Down Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Girls -  Sportswear -  Shirts & Tees -  Button-Down Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Golf -  Women -  Shirts -  Button-Down Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Running -  Women -  Active Knickers & Bras -  Active Undershirts -  Tees,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Running -  Women -  Active Knickers & Bras -  Active Undershirts -  Tank Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Skiing -  Women -  Thermal Underwear -  Tops -  Thermal T-Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Skiing -  Women -  Thermal Underwear -  Tops -  Thermal Tank Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Judo -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Jiu-Jitsu -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Karate -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Aikido -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Filipino Martial Arts -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Iaido -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Kendo -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Kickboxing -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Taekwondo -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Martial Arts -  Kung Fu -  Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Men -  T-shirts -  Polos & Shirts -  Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Boys -  Innerwear -  Vests -  Tank Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Boys -  Innerwear -  Vests -  Tees,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Girls -  Innerwear -  Vests & Camisoles -  Tees,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Girls -  Innerwear -  Vests & Camisoles -  Tank Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Women -  Sportswear -  Base Layers & Compression -  Shirts -  Tank Tops,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Women -  Sportswear -  Base Layers & Compression -  Shirts -  T-Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Women -  Western Wear -  Tops -  T-Shirts & Shirts -  Shirts -  Button-Down Shirts,Apparel - Shirts,Low Risk
apparel - Clothing & Accessories -  Women -  Western Wear -  Tops -  T-Shirts & Shirts -  Shirts -  Blouses,Apparel - Shirts,Low Risk
sporting-goods - Outdoor Recreation - Clothing - Boys - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Outdoor Recreation - Clothing - Girls - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Outdoor Recreation - Clothing - Men - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Outdoor Recreation - Clothing - Women - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Running - Clothing - Boys - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Running - Clothing - Girls - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Running - Clothing - Women - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Winter Sports - Skiing - Clothing - Boys - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Winter Sports - Skiing - Clothing - Girls - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Winter Sports - Skiing - Clothing - Men - Socks,Apparel - Socks & Stockings,Low Risk
sporting-goods - Winter Sports - Skiing - Clothing - Women - Socks,Apparel - Socks & Stockings,Low Risk
apparel - Boys - Accessories - Socks & Hosiery - Socks - Calf Socks,Apparel - Socks & Stockings,Low Risk
apparel - Boys - Accessories - Socks & Hosiery - Socks - Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Girls - Accessories - Socks - Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Men - Accessories - Socks & Hosiery - Socks - Calf Socks,Apparel - Socks & Stockings,Low Risk
apparel - Men - Accessories - Socks & Hosiery - Socks - Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Women - Accessories - Socks & Stockings - Socks - Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Accessories -  Socks & Hosiery -  Socks -  Athletic Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Accessories -  Socks & Hosiery -  Socks -  Athletic Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Accessories -  Socks & Hosiery -  Socks -  Athletic Socks -  Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  Athletic Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  Athletic Socks -  Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  Athletic Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Men -  Accessories -  Socks & Hosiery -  Socks -  Athletic Socks -  Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Men -  Accessories -  Socks & Hosiery -  Socks -  Athletic Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Men -  Accessories -  Socks & Hosiery -  Socks -  Athletic Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Accessories -  Socks & Stockings -  Socks -  Athletic Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Accessories -  Socks & Stockings -  Socks -  Athletic Socks -  Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Accessories -  Socks & Stockings -  Socks -  Athletic Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Men -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Men -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Calf Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  Calf Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Accessories -  Socks -  No-Show Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Soccer -  Boys -  Soccer Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Soccer -  Women -  Soccer Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Soccer -  Girls -  Soccer Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Soccer -  Men -  Soccer Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Baseball -  Girls -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Baseball -  Men -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Baseball -  Boys -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Baseball -  Women -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Cycling -  Girls -  Cycling Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Cycling -  Women -  Cycling Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Cycling -  Men -  Cycling Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Cycling -  Boys -  Cycling Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Softball -  Boys -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Softball -  Women -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Sport Specific Clothing -  Softball -  Men -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
