Marketplace,Seller facing Fee Category,Fees%
IE,"Beer, Wine, and Spirits",10%
IE,Books,15%
IE,"Business, Industrial & Scientific Supplies",15%
IE,Clothing and Accessories,≤€15: 5% | >€15 to ≤€20: 10% | >€20: 15% (total)
IE,Commercial Electrical and Energy Supplies,12%
IE,Compact Appliances,15%
IE,Computers,7%
IE,Consumer Electronics,7%
IE,Cycling,10%
IE,Cycling Accessories,15%
IE,"Door, Window and Shower Accessories",13%
IE,Electronic Accessories,Up to €100: 15% | Over €100: 8% (tiered)
IE,Everything else,15%
IE,Eyewear,≤€15: 8% | >€15: 15% (total) || For Prime selection Up to €45: 15% | Above €45: 7% (tiered)
IE,Eyewear Protection,≤€15: 8% | >€15: 15% (total) || For Prime selection Up to €45: 15% | Above €45: 7% (tiered)
IE,Footwear,15%
IE,Full-Size Appliances,7%
IE,Furniture,Up to €200: 15% | Over €200: 10% (tiered)
IE,Furniture Accessories,13%
IE,Grocery and Gourmet,≤€10: 8% | >€10: 15% (total)
IE,Home Adhesives and Cable Ties,13%
IE,Home Linen and Rugs,15%
IE,Home Products,≤€20: 8% | >€20: 15% (total)
IE,Jewellery,Up to €250: 20% | Above €250: 5% (tiered)
IE,Kitchen,15%
IE,Lawn and Garden,15%
IE,Luggage,15%
IE,Luggage Accessories,15%
IE,Mattresses,15%
IE,"Music, VHS, DVD",15%
IE,Musical Instruments and AV Production,12%
IE,Office Products,15%
IE,Packing Materials,15%
IE,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
IE,Pet Supplies,15%
IE,Printer and Scanner accessories,Up to €100: 15% | Over €100: 8% (tiered)
IE,Reusable Work and Safety Gloves,≤€10: 8% | >€10: 15% (total)
IE,Software,15%
IE,Sports & Outdoors,15%
IE,Tires,7%
IE,Tools and Home Improvement,13%
IE,Toys and Games,15%
IE,Video Game Consoles,8%
IE,Video Games and Gaming Accessories,15%
IE,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
IE,Watches,Up to €250: 15% | Above €250: 5% (tiered)
AE,All Other Categories,10%
AE,Apparel,12%
AE,Automotive,12%
AE,Baby,≤AED 50: 8% | >AED 50: 15% (total)
AE,Beauty,≤AED 50: 8% | >AED 50: 15% (total)
AE,Books,15%
AE,"Business, Industrial, and Scientific Supplies",11%
AE,Camera,8%
AE,Consumer Electronics,7%
AE,Electronics Accessories,Up to AED 250: 15% | Above AED 250: 8% (tiered)
AE,Furniture,Up to AED 750: 15% | Above AED 750: 10% (tiered)
AE,Gift Cards,5%
AE,Grocery,≤AED 50: 5% | >AED 50: 11% (total)
AE,Health & Personal Care,≤AED 50: 8% | >AED 50: 15% (total)
AE,Home,15%
AE,Home Entertainment,5%
AE,Jewelry,Up to AED 1000: 16% | Above AED 1000: 5% (tiered)
AE,Kitchen,15%
AE,Luggage,15%
AE,Major appliances,6%
AE,Mobile phones,5%
AE,Music,10%
AE,Music instruments,15%
AE,Office Products,14%
AE,Outdoor,15%
AE,PC store,6%
AE,Perfumes,15%
AE,Personal care Appliances,≤AED 50: 8% | >AED 50: 15% (total)
AE,Pet Products,≤AED 50: 8% | >AED 50: 15% (total)
AE,Shoes,15%
AE,Small Appliances,13%
AE,Software,10%
AE,Sports,14%
AE,Tools & Home Improvement,15%
AE,Toys,14%
AE,Video & DVD,10%
AE,Video Game Consoles,6%
AE,Video Games,15%
AE,Watches,Up to AED 5000: 15% | Above AED 5000: 5% (tiered)
SA,All Other Categories,10%
SA,Apparel,15%
SA,Automotive,12%
SA,Baby,Up to SAR 50: 8% | >SAR 50: 15% (total)
SA,Beauty,Up to SAR 50: 8.5% | >SAR 50: 11% (total)
SA,Books,15%
SA,Camera,8%
SA,Consumer Electronics,5.50%
SA,Electronics Accessories,Up to SAR 250: 15% | Over SAR 250: 8% (tiered)
SA,Furniture,Up to SAR 750: 15% | Over SAR 750: 10% (tiered)
SA,Gift Cards,10%
SA,Grocery,≤SAR 25: 3% | >SAR 25: 9% (total)
SA,Health & Personal Care,≤SAR 50: 8.5% | >SAR 50: 11% (total)
SA,Home,14%
SA,Jewelry,Up to SAR 1000: 16% | Over SAR 1000: 5% (tiered)
SA,Kitchen,14%
SA,Luggage,15%
SA,Major appliances,6%
SA,Mobile phones,5.50%
SA,Music,15%
SA,Music instruments,15%
SA,Office Products,15%
SA,Outdoor,14%
SA,Perfumes,15%
SA,Personal Care Appliances,≤SAR 50: 8% | >SAR 50: 13% (total)
SA,Personal Computers,6%
SA,Pet Products,15%
SA,Portable Audio,10%
SA,Shoes,15%
SA,Small Appliances,12%
SA,Software,10%
SA,Sports,13%
SA,Tools & Home Improvement,14%
SA,Toys,14%
SA,Video & DVD,13%
SA,Video Game Consoles,6%
SA,Video Games,14%
SA,Watches,Up to SAR 5000: 15% | Over SAR 5000: 5% (tiered)
TR,Automotive,12.50%
TR,Baby Products (excl. Apparel),11.50%
TR,Beauty,≤TRY 500: 9% | >TRY 500: 14% (total)
TR,Books,10.20%
TR,Camera,9%
TR,Cell Phone,8%
TR,Clothing,15.50%
TR,Computer,7%
TR,Consumer Electronics,9.50%
TR,Electronic Accessories,11%
TR,Everything Else,10%
TR,Furniture,14.50%
TR,Grocery,≤TRY 500: 9% | >TRY 500: 13% (total)
TR,Health and Personal Care,13.50%
TR,Home Entertainment,11.50%
TR,Home Improvement,12.70%
TR,Jewelry,≤TRY 900: 20% | >TRY 900: 6% (total)
TR,Kitchen (Small Domestic Appliances),11%
TR,Kitchenware and Decoration,15%
TR,Lawn & Garden,14%
TR,Luggage,16%
TR,Major Appliances,7%
TR,Musical Instruments,10%
TR,Office Products,13%
TR,Personal Care Appliances,13.60%
TR,Pet Products,13.50%
TR,"Shoes, Handbags, and Shoe Accessories",17%
TR,Sports,10%
TR,Toys & Games,13%
TR,Video Game Consoles,8.50%
TR,Video Games,10%
TR,Watch,15.50%
EG,All Other Categories,10%
EG,Apparel,15%
EG,Automotive,12%
EG,Baby,9%
EG,Beauty,12%
EG,Books,7%
EG,Camera,7%
EG,Consumer Electronics,8%
EG,Electronics Accessories,Up to EGP 1000: 15% | Over EGP 1000: 8% (tiered)
EG,Furniture,13%
EG,Gift Cards,10%
EG,Grocery,≤EGP 250: 4% | >EGP 250: 10% (total)
EG,Health & Personal Care,11.50%
EG,Home,13%
EG,Home Entertainment,5%
EG,Jewelry,Up to EGP 5000: 19% | Over EGP 5000: 5% (tiered)
EG,Kitchen,11.50%
EG,Luggage,15%
EG,Major Appliances,5%
EG,Mobile phones,4.50%
EG,Music,10%
EG,Music instruments,12%
EG,Office products,12%
EG,Outdoor,13%
EG,Perfumes,13%
EG,Personal care Appliances,11%
EG,Personal computers,4%
EG,Pet Products,14%
EG,Portable Audio,Up to EGP 1000: 15% | Over EGP 1000: 8% (tiered)
EG,Shoes,15%
EG,Small Appliances,7%
EG,Software,10%
EG,Sports,11.50%
EG,Tools & Home Improvement,11%
EG,Toys,13%
EG,Video & DVD,11%
EG,Video Game Consoles,4%
EG,Video Games,10%
EG,Watches,12%
JP,Amazon Device Accessories,45%
JP,Automotive and Powersports,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Baby Products,≤JPY 750: 5% | >JPY 750 to ≤JPY 1500: 8% | >JPY 1500: 15% (total)
JP,"Backpacks, Handbags, and Luggage",≤JPY 750: 5% | >JPY 750 to ≤JPY 7500: 12% (total) || Up to JPY 7500: 12% | Over JPY 7500: 6% (tiered)
JP,Beauty - Different Beauty Brands,
JP,"Beauty, Health and Personal Care",≤JPY 750: 5% | >JPY 750 to ≤JPY 1500: 8% | >JPY 1500: 10% (total)
JP,Beer,≤JPY 750: 5% | >JPY 750: 6.5% (total)
JP,"Business, Industrial, and Scientific Supplies",≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Clothing and Accessories,≤JPY 750: 5% | >JPY 750 to ≤JPY 2500: 8% | >JPY 2500 to ≤JPY 3000: 12% (total) | >JPY 3000: Up to JPY 3000: 12% + Over JPY 3000: 8% (tiered)
JP,Compact Appliances,≤JPY 750: 5% | >JPY 750: 8% (total)
JP,Computers,≤JPY 750: 5% | >JPY 750: 8% (total)
JP,Consumer Electronics,≤JPY 750: 5% | >JPY 750: 8% (total)
JP,Electronic Accessories,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Everything Else,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Eyewear,≤JPY 750: 5% | >JPY 750 to ≤JPY 3000: 12% (total) || >JPY 3000: Up to JPY 3000: 12% | Over JPY 3000: 8% (tiered)
JP,Footwear,≤JPY 750: 5% | >JPY 750 to ≤JPY 7500: 12% (total) || >JPY 7500: Up to JPY 7500: 12% | Over JPY 7500: 6% (tiered)
JP,Full-Size Appliances,≤JPY 750: 5% | >JPY 750: 8% (total)
JP,Furniture,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Grocery and Gourmet,≤JPY 750: 5% | >JPY 750 to ≤JPY 1500: 8% | >JPY 1500: 10% (total)
JP,Home and Kitchen,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Home and Kitchen Appliances,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Jewelry,≤JPY 750: 5% | >JPY 750 to ≤JPY 10000: 10% (total) || >JPY 10000: Up to JPY 10000: 10% | Over JPY 10000: 6% (tiered)
JP,Lawn & Garden,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Mattresses,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,"Media - Books, DVD, Music, Software, Video",15%
JP,Musical Instruments and AV Production,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Office Products,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Pet Products,≤JPY 750: 5% | >JPY 750 to ≤JPY 1500: 8% | >JPY 1500: 15% (total)
JP,Professional Medical Supplies,≤JPY 750: 5% | >JPY 750 to ≤JPY 1500: 8% | >JPY 1500: 10% (total)
JP,Sports and Outdoors,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Tires,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Tools and Home Improvement,≤JPY 750: 5% | >JPY 750: 15% (total)
JP,Toys and Games,≤JPY 750: 5% | >JPY 750: 10% (total)
JP,Video Game Consoles,≤JPY 750: 5% | >JPY 750: 8% (total)
JP,Video Games and Gaming Accessories,15%
JP,Watches,≤JPY 750: 5% | >JPY 750: 15% (total)
AU,Alcoholic Beverages,10%
AU,Automotive and Powersports,10.50%
AU,Baby Products,≤$20: 8% | >$20: 11% (total)
AU,Base Equipment Power Tools,7%
AU,"Beauty, Health and Personal Care",≤$20: 8% | >$20: 13% (total)
AU,"Business, Industrial & Scientific Supplies",11%
AU,Clothing and Accessories,≤$20: 10% | >$20: 13% (total)
AU,Computers,Up to $150: 8% | Over $150: 6% (tiered)
AU,Consumer Electronics,8%
AU,Electronic Accessories,13.50%
AU,Everything Else,15%
AU,Furniture,12%
AU,Grocery and Gourmet,≤$20: 8% | >$20: 10% (total)
AU,Home & Kitchen Appliances,8%
AU,Home and Kitchen,13%
AU,Jewellery,Up to $200: 15% | Over $200: 5% (tiered)
AU,Lawn and Garden,10.50%
AU,Luggage,13%
AU,Major Domestic Appliances,7%
AU,"Media - Books, DVD, Music, Software, Video",15%
AU,Musical Instruments and AV Production,11%
AU,Office Products,13%
AU,Pet Products,≤$20: 10% | >$20: 13% (total)
AU,"Shoes, Handbags & Sunglasses",Up to $50: 14% | Over $50: 10% (tiered)
AU,Sports and Outdoors,Up to $200: 13% | Over $200: 12% (tiered)
AU,Tools & Home Improvement,≤$20: 10% | >$20: 13% (total)
AU,Toys and Games,12%
AU,Tyres,9%
AU,Video Game Consoles,6%
AU,Video Games & Gaming Accessories,9%
AU,Watches,Up to $50: 12% | Over $50: 8% (tiered)
SG,Automotive and Powersports,13%
SG,Baby Products,≤S$20: 9.5% | >S$20: 12.5% (total)
SG,"Backpacks, Handbags and Luggage",13.50%
SG,"Beauty, Health and Personal Care",≤S$20: 8% | >S$20: 11% (total)
SG,"Beer, Wine and Spirits",9%
SG,"Business, Industrial and Scientific Supplies",13%
SG,Clothing and Accessories,11%
SG,Computers,7%
SG,Consumer Electronics,8%
SG,Electronics Accessories,Up to S$100: 12% | Over S$100: 8% (tiered)
SG,Everything Else,12.50%
SG,Footwear,12%
SG,Furniture,12%
SG,Grocery and Gourmet,9%
SG,Home and Kitchen,12%
SG,Jewellery,15%
SG,Lawn and Garden,12%
SG,Major Appliances,12%
SG,"Media - Books, DVD, Music, Software",13.50%
SG,Musical Instruments and AV Production,12%
SG,Office Products,13%
SG,Pet Products,≤S$20: 9% | >S$20: 11% (total)
SG,Sports and Outdoors,12.50%
SG,Tools and Home Improvement,12%
SG,Toys and Games,12.50%
SG,Video Game Consoles,7%
SG,Video Games and Gaming Accessories,12%
SG,Watches,13.50%
