Marketplace,Seller facing Fee Category,Fees%
UK,Furniture,Up to £175: 15% | Above £175: 10% (tiered)
UK,Furniture Accessories,13%
UK,Grocery and Gourmet,≤£10: 8% | >£10: 15% (total)
UK,Home Adhesives and Cable Ties,13%
UK,Home Linen and Rugs,15%
UK,Home Products,≤£20: 8% | >£20: 15% (total)
UK,Jewellery,Up to £225: 20% | Above £225: 5% (tiered)
UK,Kitchen,15%
UK,Lawn and Garden,15%
UK,Luggage,15%
UK,Luggage Accessories,15%
UK,Mattresses,15%
UK,"Music, VHS, DVD",15%
UK,Musical Instruments and AV Production,12%
UK,Office Products,15%
UK,Packing Materials,15%
UK,Pet Clothing and Food,≤£10: 5% | >£10: 15% (total)
UK,Pet Products,15%
UK,Printer and Scanner accessories,Up to £100: 15% | Above £100: 8% (tiered)
UK,Reusable Work and Safety Gloves,Up to £10: 8% | Above £10: 15% (total)
UK,Software,15%
UK,Sports and Outdoors,15%
UK,Tires,7%
UK,Tools and Home Improvement,13%
UK,Toys and Games,15%
UK,Video Game Consoles,8%
UK,Video Games and Gaming Accessories,15%
UK,"Vitamins, Minerals and Supplements",≤£10: 5% | >£10: 15% (total)
UK,Watches,Up to £225: 15% | Above £225: 5% (tiered)
DE,Amazon Device Accessories,45%
DE,Automotive and Powersports,Up to €50: 15% | Above €50: 9% (tiered)
DE,Baby Products,≤€10: 8% | >€10: 15% (total)
DE,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
DE,Backpacks and Handbags,15%
DE,"Beauty, Health and Personal Care",≤€10: 8% | >€10: 15% (total)
DE,"Beer, Wine, and Spirits",10%
DE,Books,15%
DE,"Business, Industrial & Scientific Supplies",15%
DE,Clothing and Accessories,≤€15: 5% | €15 to €20: 10% | >€20: 15% || For Fulfilment by Amazon and Seller Fulfilled Prime selection Up to €45: 15% | Above €45: 7% (tiered)
DE,Commercial Electrical and Energy Supplies,12%
DE,Compact Appliances,15%
DE,Computers,7%
DE,Consumer Electronics,7%
DE,Cycling Accessory,15%
DE,"Door, Window and Shower Accessories",13%
DE,Electronic Accessories,Up to €100: 15% | Above €100: 8% (tiered)
DE,Everything else,15%
DE,Eyewear,15%
DE,Eyewear Protection,15%
DE,Footwear,15%
DE,Full-Size Appliances,7%
DE,Furniture,Up to €200: 15% | Above €200: 10% (tiered)
DE,Furniture Accessories,13%
DE,Grocery and Gourmet,≤€10: 8% | >€10: 15% (total)
DE,Home Adhesives and Cable Ties,13%
DE,Home Linen and Rugs,15%
DE,Home Products,≤€20: 8% | >€20: 15% (total)
DE,Jewellery,Up to €250: 20% | Over €250: 5% (tiered)
DE,Kitchen,15%
DE,Lawn and Garden,15%
DE,Luggage,15%
DE,Luggage Accessories,15%
DE,Mattresses,15%
DE,"Music, VHS, DVD",15%
DE,Musical Instruments and AV Production,12%
DE,Office Products,15%
DE,Packing Materials,15%
DE,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
DE,Pet Products,15%
DE,Printer and Scanner accessories,Up to €100: 15% | Above €100: 8% (tiered)
DE,Reusable Work and Safety Gloves,≤€10: 8% | >€10: 15% (total)
DE,Software,15%
DE,Sports and Outdoors,15%
DE,Tires,7%
DE,Tools and Home Improvement,13%
DE,Toys and Games,15%
DE,Video Game Consoles,8%
DE,Video Games and Gaming Accessories,15%
DE,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
DE,Watches,Up to €250: 15% | Over €250: 5% (tiered)
FR,Amazon Device Accessories,45%
FR,Automotive and Powersports,Up to €50: 15% | Over €50: 9% (tiered)
FR,Baby Products,≤€10: 8% | >€10: 15% (total)
FR,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
FR,Backpacks and Handbags,15%
FR,"Beauty, Health and Personal Care",≤$10: 8% | >$10: 15% (total)
FR,"Beer, Wine, and Spirits",10%
FR,Books,15%
FR,"Business, Industrial, and Scientific Supplies",15%
FR,Clothing and Accessories,≤€15: 5% | €15 to €20: 10% | >€20: 15% || For Fulfilment by Amazon and Seller Fulfilled Prime selection Up to €45: 15% | Above €45: 7% (tiered)
FR,Commercial Electrical and Energy Supplies,12%
FR,Compact Appliances,15%
FR,Computers,7%
FR,Consumer Electronics,7%
FR,Cycling Accessory,15%
FR,"Door, Window and Shower Accessories",13%
FR,Electronic Accessories,Up to €100: 15% | Over €100: 8% (tiered)
FR,Everything else,15%
FR,Eyewear,15%
FR,Eyewear Protection,15%
FR,Footwear,15%
FR,Full-Size Appliances,7%
FR,Furniture,Up to €200: 15% | Over €200: 10% (tiered)
FR,Furniture Accessories,13%
FR,Grocery and Gourmet,≤€10: 5% | >€10: 15% (total)
FR,Home Adhesives and Cable Ties,13%
FR,Home Linen and Rugs,15%
FR,Home Products,≤€20: 8% | >€20: 15% (total)
FR,Jewellery,Up to €250: 20% | Over €250: 5% (tiered)
FR,Kitchen,15%
FR,Lawn and Garden,15%
FR,Luggage,15%
FR,Luggage Accessories,15%
FR,Mattresses,15%
FR,"Music, VHS, DVD",15%
FR,Musical Instruments and AV Production,12%
FR,Office Products,15%
FR,Packing Materials,15%
FR,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
FR,Pet Products,15%
FR,Printer and Scanner accessories,Up to €100: 15% | Above €100: 8% (tiered)
FR,Reusable Work and Safety Gloves,≤$10: 8% | >$10: 15% (total)
FR,Software,15%
FR,Sports and Outdoors,15%
FR,Tires,7%
FR,Tools and Home Improvement,13%
FR,Toys and Games,15%
FR,Video Game Consoles,8%
FR,Video Games and Gaming Accessories,15%
FR,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
FR,Watches,Up to €250: 15% | Above €250: 5% (tiered)
IT,Amazon Device Accessories,45%
IT,Automotive and Powersports,Up to €50: 15% | Over €50: 9% (tiered)
IT,Baby Products,≤€10: 8% | >€10: 15% (total)
IT,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
IT,Backpacks and Handbags,15%
IT,"Beauty, Health and Personal Care",≤$10: 8% | >$10: 15% (total)
IT,"Beer, Wine, and Spirits",10%
IT,Books,15%
IT,"Business, Industrial, and Scientific Supplies",15%
IT,Clothing and Accessories,≤€15: 5% | €15 to €20: 10% | >€20: 15% || For Fulfilment by Amazon and Seller Fulfilled Prime selection Up to €45: 15% | Above €45: 7% (tiered)
IT,Commercial Electrical and Energy Supplies,12%
IT,Compact Appliances,15%
IT,Computers,7%
IT,Consumer Electronics,7%
IT,Cycling Accessory,15%
IT,"Door, Window and Shower Accessories",13%
IT,Electronic Accessories,Up to €100: 15% | Over €100: 8% (tiered)
IT,Everything else,15%
IT,Eyewear,15%
IT,Eyewear Protection,15%
IT,Footwear,15%
IT,Full-Size Appliances,7%
IT,Furniture,Up to €200: 15% | Over €200: 10% (tiered)
IT,Furniture Accessories,13%
IT,Grocery and Gourmet,≤€10: 5% | >€10: 15% (total)
IT,Home Adhesives and Cable Ties,13%
IT,Home Linen and Rugs,15%
IT,Home Products,≤€20: 8% | >€20: 15% (total)
IT,Jewellery,Up to €250: 20% | Over €250: 5% (tiered)
IT,Kitchen,15%
IT,Lawn and Garden,15%
IT,Luggage,15%
IT,Luggage Accessories,15%
IT,Mattresses,15%
IT,"Music, VHS, DVD",15%
IT,Musical Instruments and AV Production,12%
IT,Office Products,15%
IT,Packing Materials,15%
IT,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
IT,Pet Products,15%
IT,Printer and Scanner accessories,Up to €100: 15% | Above €100: 8% (tiered)
IT,Reusable Work and Safety Gloves,≤$10: 8% | >$10: 15% (total)
IT,Software,15%
IT,Sports and Outdoors,15%
IT,Tires,7%
IT,Tools and Home Improvement,13%
IT,Toys and Games,15%
IT,Video Game Consoles,8%
IT,Video Games and Gaming Accessories,15%
IT,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
IT,Watches,Up to €250: 15% | Above €250: 5% (tiered)
ES,Amazon Device Accessories,45%
ES,Automotive and Powersports,Up to €50: 15% | Over €50: 9% (tiered)
ES,Baby Products,≤€10: 8% | >€10: 15% (total)
ES,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
ES,Backpacks and Handbags,15%
ES,"Beauty, Health and Personal Care",≤$10: 8% | >$10: 15% (total)
ES,"Beer, Wine, and Spirits",10%
ES,Books,15%
ES,"Business, Industrial, and Scientific Supplies",15%
ES,Clothing and Accessories,≤€15: 5% | €15 to €20: 10% | >€20: 15% || For Fulfilment by Amazon and Seller Fulfilled Prime selection Up to €45: 15% | Above €45: 7% (tiered)
ES,Commercial Electrical and Energy Supplies,12%
ES,Compact Appliances,15%
ES,Computers,7%
ES,Consumer Electronics,7%
ES,Cycling Accessory,15%
ES,"Door, Window and Shower Accessories",13%
ES,Electronic Accessories,Up to €100: 15% | Over €100: 8% (tiered)
ES,Everything else,15%
ES,Eyewear,15%
ES,Eyewear Protection,15%
ES,Footwear,15%
ES,Full-Size Appliances,7%
ES,Furniture,Up to €200: 15% | Over €200: 10% (tiered)
ES,Furniture Accessories,13%
ES,Grocery and Gourmet,≤€10: 5% | >€10: 15% (total)
ES,Home Adhesives and Cable Ties,13%
ES,Home Linen and Rugs,15%
ES,Home Products,≤€20: 8% | >€20: 15% (total)
ES,Jewellery,Up to €250: 20% | Over €250: 5% (tiered)
ES,Kitchen,15%
ES,Lawn and Garden,15%
ES,Luggage,15%
ES,Luggage Accessories,15%
ES,Mattresses,15%
ES,"Music, VHS, DVD",15%
ES,Musical Instruments and AV Production,12%
ES,Office Products,15%
ES,Packing Materials,15%
ES,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
ES,Pet Products,15%
ES,Printer and Scanner accessories,Up to €100: 15% | Above €100: 8% (tiered)
ES,Reusable Work and Safety Gloves,≤$10: 8% | >$10: 15% (total)
ES,Software,15%
ES,Sports and Outdoors,15%
ES,Tires,7%
ES,Tools and Home Improvement,13%
ES,Toys and Games,15%
ES,Video Game Consoles,8%
ES,Video Games and Gaming Accessories,15%
ES,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
ES,Watches,Up to €250: 15% | Above €250: 5% (tiered)
NL,Amazon Device Accessories,45%
NL,Automotive and Powersports,Up to €50: 15% | Above €50: 9% (tiered)
NL,Automotive and Powersports Electronic Accessories,Electronic Devices: 7% | Electronic Accessories: 12%
NL,Baby Products,≤€10: 8% | >€10: 15% (total)
NL,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
NL,Backpacks and Handbags,15%
NL,"Beauty, Health and Personal Care",≤€10: 8% | >€10: 15% (total)
NL,"Beer, Wine and Spirits",10%
NL,Books,15%
NL,"Business, Industrial & Scientific Supplies",15%
NL,Clothing and Accessories,≤€15: 5% | €15 to €20: 10% | >€20: 15% || For Fulfilment by Amazon and Seller Fulfilled Prime selection Up to €45: 15% | Above €45: 7% (tiered)
NL,Commercial Electrical and Energy Supplies,12%
NL,Compact Appliances,15%
NL,Computers,7%
NL,Consumer Electronics,7%
NL,Cycling,10%
NL,Cycling Accessory,15%
NL,"Door, Window and Shower Accessories",13%
NL,Electronic Accessories,Up to €100: 15% | Over €100: 8% (tiered)
NL,Everything else,15%
NL,Eyewear,≤€15: 8% | >€15: 15% (total) || For Prime selection Up to €45: 15% | Above €45: 7% (tiered)
NL,Eyewear Protection,≤€15: 8% | >€15: 15% (total) || For Prime selection Up to €45: 15% | Above €45: 7% (tiered)
NL,Footwear,15%
NL,Full-Size Appliances,7%
NL,Furniture,Up to €200: 15% | Over €200: 10% (tiered)
NL,Furniture Accessories,13%
NL,Grocery and Gourmet,≤€10: 5% | >€10: 15% (total)
NL,Home Adhesives and Cable Ties,13%
NL,Home Linen and Rugs,15%
NL,Home Products,≤€20: 8% | >€20: 15% (total)
NL,Jewelry,Up to €250: 20% | Over €250: 5% (tiered)
NL,Kitchen,15%
NL,Lawn and Garden,15%
NL,Luggage,15%
NL,Luggage Accessories,15%
NL,Mattresses,15%
NL,"Music, VHS, DVD",15%
NL,Musical Instruments and AV Production,12%
NL,Office Products,15%
NL,Packing Materials,15%
NL,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
NL,Pet Supplies,15%
NL,Printer and Scanner accessories,Up to €100: 15% | Above €100: 8% (tiered)
NL,Reusable Work and Safety Gloves,Up to €10: 15% | Above €10: 8% (tiered)
NL,Software,15%
NL,Sports & Outdoors,15%
NL,Tires,7%
NL,Tools and Home Improvement,13%
NL,Toys and Games,15%
NL,Video Game Consoles,8%
NL,Video Games and Gaming Accessories,15%
NL,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
NL,Watches,Up to €250: 15% | Above €250: 5% (tiered)
BE,Amazon Device Accessories,45%
BE,Automotive and Powersports,Up to €50: 15% | Above €50: 9% (tiered)
BE,Automotive and Powersports Electronic Accessories,#N/A
BE,Baby Products,≤€10: 8% | >€10: 15% (total)
BE,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
BE,Backpacks and Handbags,15%
BE,"Beauty, Health and Personal Care",≤€10: 8% | >€10: 15% (total)
BE,"Beer, Wine & Spirits",10%
BE,Books,15%
BE,"Business, Industrial & Scientific Supplies",15%
BE,Clothing and Accessories,≤€15: 5% | €15 to €20: 10% | >€20: 15% || For Fulfilment by Amazon and Seller Fulfilled Prime selection Up to €45: 15% | Above €45: 7% (tiered)
BE,Commercial Electrical and Energy Supplies,12%
BE,Compact Appliances,15%
BE,Computers,7%
BE,Consumer Electronics,7%
BE,Cycling,10%
BE,Cycling Accessories,15%
BE,"Door, Window and Shower Accessories",13%
BE,Electronic Accessories,Up to €100: 15% | Over €100: 8% (tiered)
BE,Everything else,15%
BE,Eyewear,≤€15: 8% | >€15: 15% (total) || For Prime selection Up to €45: 15% | Above €45: 7% (tiered)
BE,Eyewear Protection,≤€15: 8% | >€15: 15% (total) || For Prime selection Up to €45: 15% | Above €45: 7% (tiered)
BE,Footwear,15%
BE,Full-Size Appliances,7%
BE,Furniture,Up to €200: 15% | Over €200: 10% (tiered)
BE,Furniture Accessories,13%
BE,Grocery & Gourmet,≤€10: 5% | >€10: 15% (total)
BE,Home Adhesives and Cable Ties,13%
BE,Home Linen and Rugs,15%
BE,Home Products,≤€20: 8% | >€20: 15% (total)
BE,Jewellery,Up to €250: 20% | Over €250: 5% (tiered)
BE,Kitchen,15%
BE,Lawn and Garden,15%
BE,Luggage,15%
BE,Luggage Accessories,15%
BE,Mattresses,15%
BE,"Music, VHS, DVD",15%
BE,Musical Instruments and AV Production,12%
BE,Office Products,15%
BE,Packing Materials,15%
BE,Pet Clothing and Food,≤€10: 5% | >€10: 15% (total)
BE,Pet Supplies,15%
BE,Printer and Scanner accessories,Up to €100: 15% | Above €100: 8% (tiered)
BE,Reusable Work and Safety Gloves,Up to €10: 15% | Above €10: 8% (tiered)
BE,Software,15%
BE,Sports & Outdoors,15%
BE,Tools and Home Improvement,13%
BE,Toys and Games,15%
BE,Tyres,7%
BE,Video Game Consoles,8%
BE,Video Games and Gaming Accessories,15%
BE,"Vitamins, Minerals and Supplements",≤€10: 5% | >€10: 15% (total)
BE,Watches,Up to €250: 15% | Above €250: 5% (tiered)
SE,Amazon Device Accessories,45%
SE,Automotive and Powersports,Up to 525 kr: 15% | Above 525 kr: 9% (tiered)
SE,Automotive and Powersports Electronic Accessories,7% for Automotive and Powersports electronic devices | 12% for Automotive and Powersports electronic accessories 
SE,Baby Products,Up to 105 kr: 8% | Above 105 kr: 15% (total)
SE,Baby Strollers and Safety Equipment,Up to 105 kr: 8% | Above 105 kr: 15% (total)
SE,Backpacks and Handbags,15%
SE,"Beauty, Health and Personal Care",Up to 105 kr: 8% | Above 105 kr: 15% (total)
SE,"Beer, Wine and Spirits",
SE,Books,15%
SE,"Business, Industrial & Scientific Supplies",15%
SE,Clothing and Accessories,≤175 kr: 5% | 175 to 230 kr: 10% | >230 kr: 15% || For Prime selection Up to 470 kr: 15% | Above 470 kr: 7% (tiered)
SE,Commercial Electrical and Energy Supplies,12%
SE,Compact Appliances,15%
SE,Computers,7%
SE,Consumer Electronics,7%
SE,Cycling Accessory,15%
SE,"Door, Window and Shower Accessories",13%
SE,Electronic Accessories,Up to 1050 kr: 15% | Over 1050 kr: 8% (tiered)
SE,Everything else,15%
SE,Eyewear,≤175 kr: 8% | >175 kr: 15% (total) || For Prime selection Up to 470 kr: 15% | Above 470 kr: 7% (tiered)
SE,Eyewear Protection,≤175 kr: 8% | >175 kr: 15% (total) || For Prime selection Up to 470 kr: 15% | Above 470 kr: 7% (tiered)
SE,Footwear,15%
SE,Full-Size Appliances,7%
SE,Furniture,Up to 2100 kr: 15% | Over 2100 kr: 10% (tiered)
SE,Furniture Accessories,13%
SE,Grocery and Gourmet,≤105 kr: 5% | >105 kr: 15% (total)
SE,Home Adhesives and Cable Ties,13%
SE,Home Linen and Rugs,15%
SE,Home Products,≤230 kr: 8% | >230 kr: 15% (total)
SE,Jewellery,Up to 2600 kr: 20% | Over 2600 kr: 5% (tiered)
SE,Kitchen,15%
SE,Lawn and Garden,15%
SE,Luggage,15%
SE,Luggage Accessories,15%
SE,Mattresses,15%
SE,"Music, VHS, DVD",15%
SE,Musical Instruments and AV Production,12%
SE,Office Products,15%
SE,Packing Materials,15%
SE,Pet Clothing and Food,≤105 kr: 5% | >105 kr: 15% (total)
SE,Pet Supplies,15%
SE,Printer and Scanner accessories,Up to 1050 kr: 15% | Above 1050 kr: 8% (tiered)
SE,Reusable Work and Safety Gloves,
SE,Software,15%
SE,Sports and Outdoors,15%
SE,Tools and Home Improvement,13%
SE,Toys and Games,15%
SE,Tyres,7%
